################ (Airport Name : PR) ################
(Ottawa Macdonald Cartier Intl, Canada : 0.0006957619825790936)
(General Mariano Escobedo Intl, Mexico : 0.0006948404292585433)
(Khartoum, Sudan : 0.0006908951624821155)
(Blagnac, France : 0.0006876952746361506)
(Raleigh Durham Intl, United States : 0.0006838019878840164)
(Pisa, Italy : 0.0006829444555002879)
(Kota Kinabalu Intl, Malaysia : 0.0006828232889902235)
(Brussels South, Belgium : 0.0006823808390813233)
(Nnamdi Azikiwe Intl, Nigeria : 0.0006805790471992684)
(Girona, Spain : 0.0006766424655233763)
(Memphis Intl, United States : 0.000673521254027807)
(Shiraz Shahid Dastghaib Intl, Iran : 0.0006724457626253469)
(Menorca, Spain : 0.0006713629027690066)
(El Salvador Intl, El Salvador : 0.0006705420846279192)
(Polonia, Indonesia : 0.0006702894624484912)
(Aniak Airport, United States : 0.0006694540668866826)
(San Antonio Intl, United States : 0.0006684577581339609)
(Meilan, China : 0.0006661170499455067)
(Rafic Hariri Intl, Lebanon : 0.0006642042374158077)
(Kahului, United States : 0.0006622645577607586)
(Esenboga, Turkey : 0.0006595894829453134)
(Phoenix International, China : 0.0006566317374873537)
(Changbei Intl, China : 0.0006529211122546111)
(Liangjiang, China : 0.0006508896018774949)
(Sepinggan, Indonesia : 0.0006507860026345961)
(Guararapes Gilberto Freyre Intl, Brazil : 0.0006496996836223693)
(Ivato, Madagascar : 0.0006496432942982184)
(Jeju Intl, South Korea : 0.000649329889634358)
(Astana Intl, Kazakhstan : 0.000647215760696309)
(Valencia, Spain : 0.000646406968027019)
(Jose Joaquin De Olmedo Intl, Ecuador : 0.0006463197442628607)
(Phuket Intl, Thailand : 0.0006462102559039872)
(El Alto Intl, Bolivia : 0.0006461585168635357)
(Hannover, Germany : 0.0006416682906462144)
(Louis Armstrong New Orleans Intl, United States : 0.0006415189246449769)
(City, United Kingdom : 0.0006396612083518378)
(Bologna, Italy : 0.000638922502714237)
(Split, Croatia : 0.0006368855453951204)
(Naha, Japan : 0.000635733668676999)
(Leopold Sedar Senghor Intl, Senegal : 0.0006332838190636575)
(Tripoli Intl, Libya : 0.0006331519236550206)
(Schonefeld, Germany : 0.0006291904044744626)
(Norman Y Mineta San Jose Intl, United States : 0.0006291297074551062)
(Tanna island, Vanuatu : 0.0006287109219891864)
(Sept Iles, Canada : 0.0006285758422601295)
(Fuerteventura, Spain : 0.0006264035299642985)
(Beograd, Serbia : 0.0006243742324472453)
(Kos, Greece : 0.0006226307911616658)
(Santos Dumont, Brazil : 0.0006206988938758468)
(Nairobi Wilson, Kenya : 0.0006186952267575265)
(Mandalay Intl, Burma : 0.0006184766977913698)
(Cincinnati Northern Kentucky Intl, United States : 0.0006177657001613491)
(Capodichino, Italy : 0.0006171980547576687)
(Dubrovnik, Croatia : 0.0006150059661396118)
(Macau Intl, Macau : 0.000613733637782438)
(Subang-Sultan Abdul Aziz Shah Intl, Malaysia : 0.0006132603917544076)
(Lanzhou Airport, China : 0.0006131548285022288)
(Leeds Bradford, United Kingdom : 0.0006115432632711786)
(Nantes Atlantique, France : 0.00061092287419121)
(Chaklala, Pakistan : 0.0006101750435452749)
(Olbia Costa Smeralda, Italy : 0.0006099592079550628)
(Heydar Aliyev, Azerbaijan : 0.0006074589242912472)
(Quebec Jean Lesage Intl, Canada : 0.0006062671058040994)
(General Mitchell Intl, United States : 0.0006047185076775752)
(Miri, Malaysia : 0.0006018018775764395)
(Pittsburgh Intl, United States : 0.0005994947090731059)
(Osaka Intl, Japan : 0.0005986955425644605)
(Wabush, Canada : 0.0005977787834616446)
(Punta Cana Intl, Dominican Republic : 0.0005951412865951474)
(Princess Juliana Intl, Netherlands Antilles : 0.000594410905173242)
(Sacramento Intl, United States : 0.0005895695067501403)
(Halifax Intl, Canada : 0.0005860464169731701)
(Reykjavik, Iceland : 0.0005821710585173104)
(Bilbao, Spain : 0.0005743916245784518)
(Lusaka Intl, Zambia : 0.0005738263620317367)
(Chinggis Khaan Intl, Mongolia : 0.000573490253839684)
(King Salmon, United States : 0.0005732271757314857)
(Adnan Menderes, Turkey : 0.0005706375448343405)
(Abidjan Felix Houphouet Boigny Intl, Cote d'Ivoire : 0.0005667532363411493)
(Luxembourg, Luxembourg : 0.000565019241406837)
(Wenzhou Yongqiang Airport, China : 0.0005650088285963222)
(Indianapolis Intl, United States : 0.0005627070197050702)
(Penang Intl, Malaysia : 0.000561214147546806)
(Luogang, China : 0.0005515373168944276)
(Port Columbus Intl, United States : 0.0005511139387269367)
(Novy, Russia : 0.0005498790681858057)
(Cochin, India : 0.0005489076056234785)
(Thunder Bay, Canada : 0.0005481696967181381)
(Douala, Cameroon : 0.0005465511032655614)
(Vaernes, Norway : 0.0005460565599309942)
(Emelyanovo, Russia : 0.0005458257582791904)
(Pinto Martins Intl, Brazil : 0.0005432422276483832)
(Menara, Morocco : 0.0005386858285615974)
(Goose Bay, Canada : 0.0005382487977985621)
(Southwest Florida Intl, United States : 0.000537069452035714)
(Nausori Intl, Fiji : 0.0005366063935873601)
(Rarotonga Intl, Cook Islands : 0.000535406853874089)
(Albuquerque International Sunport, United States : 0.0005337133361716786)
(Sanaa Intl, Yemen : 0.0005298005098195645)
(Merignac, France : 0.0005282434793304657)
(Sir Seewoosagur Ramgoolam Intl, Mauritius : 0.0005276233211204)
(Changchun, China : 0.0005269930302678904)
(Elmas, Italy : 0.0005259164092288155)
(Langnes, Norway : 0.0005256862114422319)
(Unalaska, United States : 0.0005256035881368056)
(Palermo, Italy : 0.0005229226105475161)
(Allama Iqbal Intl, Pakistan : 0.0005229040918861323)
(Santo Pekoa International Airport, Vanuatu : 0.0005204691810197758)
(Liverpool, United Kingdom : 0.0005199032926811589)
(Townsville, Australia : 0.0005184513872705144)
(Reina Beatrix Intl, Aruba : 0.0005181804636729835)
(Minsk 2, Belarus : 0.000516751244027652)
(Phoenix-Mesa Gateway, United States : 0.0005159646207341165)
(Inuvik Mike Zubko, Canada : 0.0005147795004115767)
(Sofia, Bulgaria : 0.0005144581237171826)
(Hato, Netherlands Antilles : 0.0005129899252031122)
(Viru Viru Intl, Bolivia : 0.0005106845832827789)
(Linate, Italy : 0.0005100147670639866)
(Nuuk, Greenland : 0.000510012541035475)
(Alfonso Bonilla Aragon Intl, Colombia : 0.0005085423295624629)
(Yinchuan, China : 0.000508453229540342)
(Eindhoven, Netherlands : 0.0005014506050049404)
(Dalaman, Turkey : 0.0004999508126774352)
(General Abelardo L Rodriguez Intl, Mexico : 0.0004980600726159153)
(Shijiazhuang Daguocun International Airport, China : 0.0004946907895754443)
(Lishe, China : 0.0004913194536592454)
(Burgas, Bulgaria : 0.0004893419674624406)
(Vilnius Intl, Lithuania : 0.0004889101732389624)
(Knevichi, Russia : 0.0004871271635102613)
(Tallinn, Estonia : 0.00048335625580239337)
(Tobias Bolanos International Airport, Costa Rica : 0.00048278167829557395)
(John Wayne Arpt Orange Co, United States : 0.0004821073024345575)
(Gold Coast, Australia : 0.0004807451410365455)
(Kuujjuaq, Canada : 0.0004784818287464135)
(Los Cabos Intl, Mexico : 0.00047464509496474233)
(Madeira, Portugal : 0.0004728265916982238)
(Imam Khomeini, Iran : 0.0004723206405705218)
(Tille, France : 0.00047195228393561307)
(Gimpo, South Korea : 0.0004686720356234193)
(Kaohsiung Intl, Taiwan : 0.0004678154566485972)
(Frankfurt Hahn, Germany : 0.0004675813298652267)
(Lokpriya Gopinath Bordoloi International Airport, India : 0.0004671899507158318)
(Bodo, Norway : 0.0004653815192870405)
(Dallas Love Fld, United States : 0.0004637805750532236)
(Mwalimu Julius K Nyerere Intl, Tanzania : 0.0004626473485664842)
(Niederrhein, Germany : 0.0004614695756579129)
(Balice, Poland : 0.0004602948391598916)
(Sola, Norway : 0.00045990867965502993)
(Ilulissat, Greenland : 0.00045865195219209646)
(Chiang Mai Intl, Thailand : 0.0004578660948347989)
(Borg El Arab Intl, Egypt : 0.00045721966366047816)
(Beijing Nanyuan Airport, China : 0.00045712726356838683)
(Male Intl, Maldives : 0.0004557813312014962)
